race_id,race_name,class,surface,horse_name,age_sex,n_past_races,odds,popularity,field_size,act_rank,score,frame,weight_carried,sire,plus_factors,minus_factors,n_minus,odds_bucket
202603010411,福島牝馬S,重賞,芝,コガネノソラ,牝5,5,29.2,9,16,1,4.875,7,55.0,ゴールドシップ,"training_rank,second_start,distance_drop,prev2_run_bonus,win_count",post_surface,1,15〜30倍
202603010510,医王寺特別,2勝クラス,芝,セントールビースト,牡4,5,41.4,10,16,3,2.0,6,58.0,シニスターミニスターSinister Minister,"training_rank,second_start,rising_trend,prev_run_bonus",first_surface,1,30倍以上
202603010610,尾瀬特別,2勝クラス,ダ,グランキングオー,牡4,5,10.5,5,15,1,0.5,2,58.0,シニスターミニスターSinister Minister,"training_rank,inner_post_senko","local_prev,post_surface",2,7〜15倍
202603010611,モルガナイトS,OP,芝,レッドアヴァンティ,牡7,5,28.1,11,16,2,3.25,1,55.0,ドゥラメンテ,"training_rank,second_start,rising_trend",local_prev,1,15〜30倍
202604010311,駿風S,3勝クラス,芝,ロードトレイル,牡5,5,17.7,8,16,2,2.0,6,58.0,,"training_rank,distance_drop",,0,15〜30倍
202604010410,五泉特別,2勝クラス,ダ,モモンウールー,牝5,5,21.2,7,14,3,2.5,4,53.0,ドレフォンDrefong,"training_rank,pace_fit",,0,15〜30倍
202604010511,新潟大賞典,重賞,芝,バレエマスター,牡7,5,49.7,12,15,2,0.5,6,55.0,スピルバーグ,training_rank,local_prev,1,30倍以上
202604010611,弥彦S,3勝クラス,芝,タイキラフター,牡6,5,31.4,8,15,3,1.5,7,58.0,,"training_rank,distance_drop",post_surface,1,30倍以上
202604010810,火打山特別,2勝クラス,ダ,テセラリアン,牝5,5,23.8,8,15,1,3.5,6,56.0,リアルスティール,"training_rank,second_start,bloodline_distance",,0,15〜30倍
202604010811,韋駄天S,OP,芝,アメリカンステージ,牡4,5,3.2,1,16,2,0.75,7,57.5,Into Mischief,"training_rank,distance_drop,prev_run_bonus,prev2_run_bonus,grade_history",first_surface,1,3〜7倍
202605010108,4歳以上2勝クラス,2勝クラス,ダ,セントラルヴァレー,セ5,5,24.9,7,15,3,3.5,2,58.0,Kantharos,"training_rank,pace_fit",post_surface,1,15〜30倍
202605010109,白嶺S,3勝クラス,ダ,ヴィヴァン,牡8,5,63.8,12,16,1,1.5,1,55.0,ハーツクライ,"same_course,training_rank,pace_fit","local_prev,post_surface",2,30倍以上
202605010211,根岸S,重賞,ダ,ロードフォンス,牡6,5,13.2,6,16,1,6.0,1,57.0,ロードカナロア,"training_rank,distance_drop,grade_history,win_count,bloodline_distance,pace_fit",post_surface,1,7〜15倍
202605010510,銀蹄S,3勝クラス,ダ,ストレングス,牡5,5,10.1,5,16,1,2.5,6,58.0,シニスターミニスターSinister Minister,"training_rank,grade_history",,0,7〜15倍
202605010608,4歳以上2勝クラス,2勝クラス,芝,フェイト,牡6,5,12.8,5,14,2,1.5,1,58.0,リアルスティール,"training_rank,rising_trend,inner_post_senko,bloodline_distance","first_surface,post_surface",2,7〜15倍
202605010612,4歳以上2勝クラス,2勝クラス,ダ,クインズデネブ,牝5,5,8.0,4,16,1,-2.0,1,56.0,カレンブラックヒル,training_rank,"post_surface,seasonal_sex",2,7〜15倍
202605010711,ダイヤモンドS,重賞,芝,ブレイヴロッカー,セ6,5,30.1,11,15,3,2.75,1,56.5,ドゥラメンテ,"training_rank,rising_trend,prev2_run_bonus,pace_fit",distance_up,1,30倍以上
202605010810,ジャパンC2025ベストレース受賞記念,3勝クラス,芝,アスクセクシーモア,牡4,5,38.8,10,14,3,7.0,8,55.0,キタサンブラック,"same_course,training_rank,win_count,bloodline_distance,pace_fit",distance_up,1,30倍以上
202605010812,大島特別,2勝クラス,ダ,アスクアイルビゼア,牡5,5,4.3,1,16,1,5.375,2,58.0,キズナ,"same_course,training_rank,prev_run_bonus,prev2_run_bonus,inner_post_senko",post_surface,1,3〜7倍
202605020111,青葉賞,重賞,芝,タイダルロック,牡3,4,6.1,2,17,2,3.0,4,57.0,モーリス,"training_rank,grade_history,win_count",distance_up,1,3〜7倍
202605020208,4歳以上2勝クラス,2勝クラス,芝,ホウオウシェリー,牝5,5,6.4,5,11,2,3.0,8,56.0,ブリックスアンドモルタルBricks and Mortar,training_rank,,0,3〜7倍
202605020211,フローラS,重賞,芝,エンネ,牝3,1,6.7,3,12,2,4.875,8,55.0,キズナ,"training_rank,prev_run_bonus,win_count,bloodline_distance",,0,3〜7倍
202605020311,京王杯SC,重賞,芝,セフィロ,牝6,5,80.6,14,18,2,4.375,3,55.0,イスラボニータ,"training_rank,prev_run_bonus,win_count,bloodline_distance",,0,30倍以上
202605020312,4歳以上2勝クラス,2勝クラス,ダ,ライフゲート,セ4,5,19.2,6,14,3,-0.5,5,58.0,マインドユアビスケッツMind Your Biscuits,training_rank,local_prev,1,15〜30倍
202605020512,4歳以上2勝クラス,2勝クラス,ダ,フィドルファドル,牝4,5,11.1,5,16,2,4.0,6,56.0,サトノアラジン,"training_rank,pace_fit",,0,7〜15倍
202605020512,4歳以上2勝クラス,2勝クラス,ダ,ベルブリエ,牝5,5,187.1,14,16,3,2.0,6,56.0,キズナ,"training_rank,second_start,pace_fit",,0,30倍以上
