rid,cls,偏差値
202408050506,1勝クラス,50.32294886829174
202408050507,1勝クラス,46.88789541199318
202408050508,1勝クラス,42.753970165247985
202408050509,2勝クラス,59.853151371452064
202408050510,2勝クラス,52.66108373709141
202408050511,OP,64.3446652759865
202408050512,2勝クラス,57.98109315165851
202408050601,未勝利,51.78967669853976
202408050602,未勝利,41.205140509582314
202408050606,1勝クラス,49.136856185162415
202408050607,2勝クラス,58.14619182004999
202408050608,1勝クラス,60.833085220751414
202408050609,2勝クラス,54.99427680476038
202408050610,3勝クラス,55.15778450266005
202408050611,重賞,69.49551373826468
202408050612,3勝クラス,59.30260173150858
202408050701,未勝利,45.76830930303153
202408050702,未勝利,52.993273676798665
202408050703,未勝利,47.80364916386114
202408050706,1勝クラス,52.537699774067434
202408050707,1勝クラス,49.206727123666894
202408050708,OP,62.52457218464444
202408050709,2勝クラス,56.38395239140993
202408050710,3勝クラス,68.20361722686269
202408050711,重賞,68.79063710092318
202408050712,2勝クラス,63.609937214928166
202408050801,未勝利,40.01818164647658
202408050802,未勝利,52.86797647223794
202408050803,未勝利,48.75446431525986
202408050806,1勝クラス,47.59553093138699
202408050807,1勝クラス,52.33894304799671
202408050808,1勝クラス,45.804704149344246
202408050809,2勝クラス,53.79475233267724
202408050810,3勝クラス,65.33805082846322
202408050811,OP,64.95599246017922
202408050812,2勝クラス,54.69646992945201
202408060101,未勝利,49.198986868289
202408060102,未勝利,46.71043502577488
202408060103,未勝利,48.40145134775419
202408060104,未勝利,50.66126048102558
202408060107,1勝クラス,52.132730731174505
202408060109,2勝クラス,59.39872406126838
202408060110,3勝クラス,56.7343429374623
202408060111,重賞,64.98974234417827
202408060112,2勝クラス,47.07338721200757
202408060201,未勝利,45.746455642683706
202408060202,未勝利,46.92640774128425
202408060203,未勝利,47.370893605979425
202408060206,1勝クラス,46.32913898155154
202408060207,2勝クラス,55.244382384648745
202408060208,2勝クラス,60.80357190005145
202408060209,1勝クラス,60.179903198088994
202408060210,3勝クラス,53.6308436555867
202408060211,重賞,78.58664492239559
202408060212,1勝クラス,43.34632863932625
202408060301,未勝利,48.01821910381748
202408060302,未勝利,45.29569586895739
202408060303,未勝利,51.34530376741828
202408060306,1勝クラス,48.03986397056972
202408060307,1勝クラス,48.83245734462546
202408060309,3勝クラス,63.52249897019739
202408060310,OP,69.68934048353461
202408060311,重賞,55.48349662503557
202408060312,2勝クラス,58.00279931058539
202408060401,未勝利,45.33739574109638
202408060402,未勝利,50.28875627332474
202408060403,未勝利,50.89977516690351
202408060406,1勝クラス,48.39685577965306
202408060407,2勝クラス,59.256967923289174
202408060408,2勝クラス,52.48922132777902
202408060409,1勝クラス,62.86823467509204
202408060410,3勝クラス,72.6436843048656
202408060411,重賞,70.75657213325339
202408060412,2勝クラス,56.153154341714576
202408060501,未勝利,45.04561424781563
202408060502,未勝利,51.22961813301176
202408060503,未勝利,52.198586626547126
202408060504,未勝利,44.73516751814142
202408060507,1勝クラス,47.81849713212542
202408060508,2勝クラス,57.34060462273106
202408060509,1勝クラス,58.949543334782305
202408060510,2勝クラス,60.315015574229946
202408060511,OP,67.13298047076526
202408060512,2勝クラス,53.98171838942813
202408060601,未勝利,41.81508922157098
202408060602,未勝利,44.54952087176467
202408060603,未勝利,49.88307842557488
202408060606,1勝クラス,42.62552964497061
202408060607,1勝クラス,44.8021137681897
202408060608,2勝クラス,57.44570461965581
202408060609,3勝クラス,61.56660180647199
202408060610,3勝クラス,67.48870813137181
202408060611,重賞,78.80251573020699
202408060612,2勝クラス,57.374524587446345
202408060701,未勝利,47.483022817104214
202408060702,未勝利,50.43538329670547
202408060703,未勝利,49.698414077403264
202408060707,1勝クラス,45.052172533714675
202408060708,1勝クラス,50.919635964416635
202408060709,2勝クラス,56.346321465364646
202408060710,2勝クラス,55.50403245137501
202408060711,重賞,54.588476394064685
202408060712,2勝クラス,55.38656337990467
202408060801,未勝利,45.71052165514194
202408060802,未勝利,43.20073708667819
202408060803,未勝利,48.29141680909528
202408060805,1勝クラス,42.81693193670338
202408060807,1勝クラス,48.79281951486662
202408060808,2勝クラス,52.166530284401794
202408060809,3勝クラス,72.15417152302217
202408060810,3勝クラス,62.70012383779853
202408060811,OP,75.26702562418211
202408060812,重賞,72.44090296167343
202408070101,未勝利,46.212403403712784
202408070102,未勝利,50.83255638482733
202408070103,未勝利,50.397017961685144
202408070106,未勝利,46.742872937898746
202408070107,1勝クラス,44.5438385848636
